Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
Revenue,Economy & Environment,1900791292,24.01.2014,Open space lettings,Electricity,28.01,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791294,24.01.2014,Open space lettings,Electricity,28.01,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791298,24.01.2014,Open space lettings,Electricity,18.77,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791298,24.01.2014,Open space lettings,Electricity,9.24,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791303,24.01.2014,Open space lettings,Electricity,19.39,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791311,24.01.2014,Cemeteries-Ventnor,Electricity,20.17,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791524,29.01.2014,Open space lettings,Electricity,19.20,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791525,29.01.2014,Open space lettings,Electricity,17.53,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791526,29.01.2014,Open space lettings,Electricity,17.53,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791527,29.01.2014,Open space lettings,Electricity,46.99,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791529,29.01.2014,Old Cowes Enterprise College,Electricity,968.90,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791563,29.01.2014,Open space lettings,Electricity,20.37,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791574,29.01.2014,Seagulls,Electricity,"2,066.20",SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791575,29.01.2014,Seagulls,Electricity,848.89,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900797221,29.01.2014,Open space lettings,Electricity,17.53,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900797222,29.01.2014,Old Cowes Enterprise College,Electricity,"1,119.74",SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900785250,10.01.2014,Seaclose Amusements,Electricity,202.18,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900785265,10.01.2014,Ferry Management,Electricity,25.00,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1700048681,02.01.2014,Seagulls,Electricity,-781.23,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1700048748,10.01.2014,Haylands Primary School Playstreet Lane,Electricity,-314.24,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1700048794,24.01.2014,Old Cowes Enterprise College,Electricity,"-1,119.74",SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900784411,03.01.2014,"Car Park - Cross Street, Cowes",Electricity,225.49,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900784433,08.01.2014,Haylands Primary School Playstreet Lane,Electricity,298.02,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900784435,08.01.2014,Family Support activity base: 76 Greenlands,Electricity,81.66,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900784436,08.01.2014,Seagulls,Electricity,804.28,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900784640,08.01.2014,Dinosaur Isle Museum (Sandown Geology),Electricity,109.11,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900784852,10.01.2014,Seagulls,Electricity,781.23,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1700048714,08.01.2014,Haylands Primary School Playstreet Lane,Gas,-120.63,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900778765,02.01.2014,Youth Offending Team,Gas,244.16,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791522,29.01.2014,Seagulls,Gas,409.19,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791085,24.01.2014,Seagulls,Gas,166.64,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791086,24.01.2014,Seagulls,Gas,409.19,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791499,29.01.2014,Seagulls,Gas,164.92,SOUTHERN ELECTRIC
Revenue,Resources,1900790782,20.01.2014,Administrative Buildings,Gas,79.58,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900790796,20.01.2014,Clatterford Pupil Referral Unit (PRU),Gas,330.50,SOUTHERN ELECTRIC
Revenue,Resources,1900790774,20.01.2014,Administrative Buildings,Gas,136.17,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900790779,20.01.2014,Open space lettings,Gas,34.57,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900790643,17.01.2014,Newport Library,Gas,407.94,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900790771,20.01.2014,Youth Offending Team,Gas,244.04,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900790635,17.01.2014,Branstone Farm Studies Centre,Gas,72.91,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900790637,17.01.2014,Integrated Community Equipment Service,Gas,286.95,SOUTHERN ELECTRIC
Revenue,Resources,1900790634,17.01.2014,Church View Ventnor,Gas,11.44,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900785438,15.01.2014,Youth- Ryde  (Well St),Gas,546.39,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785440,15.01.2014,Mental Health Day Services,Gas,188.47,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900778777,02.01.2014,Open space lettings,Gas,29.41,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900784529,08.01.2014,Haylands Primary School Playstreet Lane,Gas,120.63,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900778774,02.01.2014,Integrated Community Equipment Service,Gas,92.83,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1700048795,24.01.2014,Seagulls,Gas,-409.19,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1700048796,24.01.2014,Seagulls,Gas,-164.92,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900785369,15.01.2014,Cemeteries-Newport,Electricity,25.20,SOUTHERN ELECTRIC
Revenue,Resources,1900785402,15.01.2014,St James Centre,Electricity,"1,621.47",SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785404,15.01.2014,"St Thomas Church, Ryde",Electricity,20.17,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900784851,10.01.2014,Youth- Shorwell,Electricity,28.45,SOUTHERN ELECTRIC
Revenue,Childrens Services,1700048817,24.01.2014,Carisbrooke Contact Centre,Electricity,-44.53,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785401,15.01.2014,Downside Community & Learning Centre,Electricity,"1,312.28",SOUTHERN ELECTRIC
Revenue,Childrens Services,1900790770,20.01.2014,Carisbrooke Contact Centre,Electricity,373.76,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900790789,20.01.2014,Cemeteries-Ryde,Electricity,39.35,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900790883,22.01.2014,Cemeteries-Ryde,Electricity,49.96,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791065,22.01.2014,Freshwater West Wight Library,Electricity,350.72,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900791110,24.01.2014,Carisbrooke Contact Centre,Electricity,160.16,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900791111,24.01.2014,Carisbrooke Contact Centre,Electricity,29.82,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900791112,24.01.2014,Carisbrooke Contact Centre,Electricity,26.95,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791312,24.01.2014,Rew Valley Sports Centre Management,Electricity,"1,157.22",SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791528,29.01.2014,40 Venner Avenue,Electricity,282.41,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791530,29.01.2014,Highmead,Electricity,965.64,SOUTHERN ELECTRIC
Revenue,Resources,1900791533,29.01.2014,Properties Industrial Estates,Electricity,390.70,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791570,29.01.2014,Old Cowes Enterprise College,Electricity,1.99,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900791571,29.01.2014,Old Cowes Enterprise College,Electricity,303.33,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900785245,10.01.2014,Beaulieu House,Electricity,"1,584.46",SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785247,10.01.2014,Archives,Electricity,408.14,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785248,10.01.2014,Guildhall Museum,Electricity,481.25,SOUTHERN ELECTRIC
Revenue,Resources,1900785266,10.01.2014,60 Dodnor Lane,Electricity,75.21,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785267,10.01.2014,Guildhall Museum,Electricity,291.94,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785268,10.01.2014,Freshwater West Wight Library,Electricity,478.64,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900785269,10.01.2014,Youth- Brading,Electricity,154.70,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1700048746,10.01.2014,Freshwater West Wight Library,Electricity,-350.72,SOUTHERN ELECTRIC
Revenue,Resources,1900791573,29.01.2014,"Atkinson Drive, Newport",Gas,299.16,SOUTHERN ELECTRIC
Revenue,Resources,1900797223,29.01.2014,"Atkinson Drive, Newport",Gas,75.30,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791531,29.01.2014,40 Venner Avenue,Gas,429.82,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900791534,29.01.2014,Downside Community & Learning Centre,Gas,"1,298.90",SOUTHERN ELECTRIC
Revenue,Resources,1900791107,24.01.2014,"Atkinson Drive, Newport",Gas,298.58,SOUTHERN ELECTRIC
Revenue,Resources,1900791080,24.01.2014,"Atkinson Drive, Newport",Gas,75.30,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900790781,20.01.2014,Freshwater West Wight Library,Gas,103.04,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900790775,20.01.2014,Medina Leisure Centre,Gas,"8,918.64",SOUTHERN ELECTRIC
Revenue,Childrens Services,1900790777,20.01.2014,Beaulieu House,Gas,665.34,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900790778,20.01.2014,Archives,Gas,101.75,SOUTHERN ELECTRIC
Revenue,Resources,1900790773,20.01.2014,60 Dodnor Lane,Gas,362.96,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900790638,17.01.2014,Highmead,Gas,"1,205.59",SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785442,15.01.2014,Ventnor Library,Gas,281.57,SOUTHERN ELECTRIC
Revenue,Community Wellbeing & Social Care,1900785443,15.01.2014,Ryde Library,Gas,381.07,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900790451,17.01.2014,Rew Valley Sports Centre Management,Gas,208.87,SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900784413,03.01.2014,Medina Leisure Centre,Gas,"6,901.19",SOUTHERN ELECTRIC
Revenue,Economy & Environment,1900784639,08.01.2014,Medina Leisure Centre,Gas,"10,145.60",SOUTHERN ELECTRIC
Revenue,Resources,1700048792,24.01.2014,"Atkinson Drive, Newport",Gas,-298.58,SOUTHERN ELECTRIC
Revenue,Childrens Services,1900785053,10.01.2014,Support for Looked After Children,Support Children,50.00,SOUTHERN HEALTH NHSFT
Revenue,Childrens Services,1900784408,03.01.2014,Support for Looked After Children,Support Children,50.00,SOUTHERN HEALTH NHSFT
Revenue,Childrens Services,1900790439,17.01.2014,In-house Fostering,Support Children,50.00,SOUTHERN HEALTH NHSFT
Revenue,Childrens Services,1900791295,24.01.2014,In-house Fostering,Support Children,50.00,SOUTHERN HEALTH NHSFT
Revenue,Resources,1700048728,10.01.2014,17 Fairlee Road,Water and Sewerage,-189.25,SOUTHERN WATER AUTHORITY
Revenue,Resources,1900785232,10.01.2014,17 Fairlee Road,Water and Sewerage,28.82,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1900785399,15.01.2014,31 Carter Avenue,Water and Sewerage,53.78,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900791560,29.01.2014,Allotments,Water and Sewerage,88.88,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900791284,27.01.2014,Allotments,Water and Sewerage,50.76,SOUTHERN WATER AUTHORITY
Revenue,Corporate,1900784847,10.01.2014,BSIP savings,Water and Sewerage,36.68,SOUTHERN WATER AUTHORITY
Revenue,Corporate,1900784865,10.01.2014,BSIP savings,Water and Sewerage,17.12,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900791283,27.01.2014,Beach Safety & Inspection / Beach Awards,Water and Sewerage,30.02,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900791494,27.01.2014,Broadlea Primary School Berry Hill site,Water and Sewerage,327.78,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785385,15.01.2014,Canoe Lake Boats,Water and Sewerage,118.27,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785383,15.01.2014,Cemeteries-East Cowes,Water and Sewerage,28.75,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785384,15.01.2014,Cemeteries-East Cowes,Water and Sewerage,13.11,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900790769,27.01.2014,Deputy Chief Fire Office,Water and Sewerage,12.98,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785391,15.01.2014,Deputy Chief Fire Office,Water and Sewerage,52.52,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785379,15.01.2014,Deputy Chief Fire Office,Water and Sewerage,42.58,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784431,08.01.2014,Deputy Chief Fire Office,Water and Sewerage,31.48,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785392,15.01.2014,Old Cowes Enterprise College,Water and Sewerage,383.04,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785389,15.01.2014,Old Cowes Enterprise College,Water and Sewerage,259.22,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785390,15.01.2014,John O’Conner Grounds Maintenance Contract,Water and Sewerage,19.03,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785385,15.01.2014,John O’Conner Grounds Maintenance Contract,Water and Sewerage,78.85,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785230,10.01.2014,John O’Conner Grounds Maintenance Contract,Water and Sewerage,13.18,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785231,10.01.2014,John O’Conner Grounds Maintenance Contract,Water and Sewerage,12.95,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784845,10.01.2014,John O’Conner Grounds Maintenance Contract,Water and Sewerage,11.59,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784896,10.01.2014,John O’Conner Grounds Maintenance Contract,Water and Sewerage,371.62,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1700048784,27.01.2014,Public Conveniences - General,Water and Sewerage,-168.46,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900778760,02.01.2014,Public Conveniences - General,Water and Sewerage,"1,343.14",SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900791497,27.01.2014,Public Conveniences - General,Water and Sewerage,26.22,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785397,15.01.2014,Public Conveniences - General,Water and Sewerage,434.60,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784816,08.01.2014,Public Conveniences - General,Water and Sewerage,172.28,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784427,08.01.2014,Public Conveniences - General,Water and Sewerage,"1,757.26",SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784429,08.01.2014,Public Conveniences - General,Water and Sewerage,75.32,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784846,10.01.2014,Public Conveniences - General,Water and Sewerage,"1,098.84",SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784840,10.01.2014,Public Conveniences - General,Water and Sewerage,534.70,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784842,10.01.2014,Public Conveniences - General,Water and Sewerage,805.47,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784843,10.01.2014,Public Conveniences - General,Water and Sewerage,114.54,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784432,08.01.2014,Public Conveniences - General,Water and Sewerage,179.69,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784531,08.01.2014,Public Conveniences - General,Water and Sewerage,578.90,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785382,15.01.2014,Public Conveniences - General,Water and Sewerage,184.02,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785380,15.01.2014,Public Conveniences - General,Water and Sewerage,196.82,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785237,10.01.2014,Public Conveniences - General,Water and Sewerage,533.06,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785241,10.01.2014,Public Conveniences - General,Water and Sewerage,96.04,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785366,15.01.2014,Public Conveniences - General,Water and Sewerage,423.41,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784844,10.01.2014,Public Conveniences - General,Water and Sewerage,832.74,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900790765,27.01.2014,Public Conveniences - General,Water and Sewerage,45.12,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785393,15.01.2014,Public Conveniences - General,Water and Sewerage,564.86,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785394,15.01.2014,Public Conveniences - General,Water and Sewerage,697.01,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785395,15.01.2014,Public Conveniences - General,Water and Sewerage,564.79,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785396,15.01.2014,Public Conveniences - General,Water and Sewerage,"1,073.31",SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785386,15.01.2014,Public Conveniences - General,Water and Sewerage,526.74,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784428,08.01.2014,Parking Management,Water and Sewerage,13.62,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1900785377,15.01.2014,Plean Dene,Water and Sewerage,803.84,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785385,15.01.2014,Ryde Concessions,Water and Sewerage,205.00,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900797225,29.01.2014,School Reorganisation Consultation Costs,Water and Sewerage,57.90,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784814,08.01.2014,School Reorganisation Consultation Costs,Water and Sewerage,142.21,SOUTHERN WATER AUTHORITY
Revenue,Resources,1900784897,10.01.2014,Administrative Buildings,Water and Sewerage,"1,094.91",SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785381,15.01.2014,The Heights,Water and Sewerage,470.87,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784836,10.01.2014,The Heights,Water and Sewerage,765.46,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784426,08.01.2014,The Heights,Water and Sewerage,899.53,SOUTHERN WATER AUTHORITY
Revenue,Childrens Services,1900791561,29.01.2014,Youth- Newport,Water and Sewerage,131.45,SOUTHERN WATER AUTHORITY
Revenue,Childrens Services,1900785233,10.01.2014,Youth- Ventnor,Water and Sewerage,48.44,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1700048701,08.01.2014,Haylands Primary School Playstreet Lane,Water and Sewerage,-546.23,SOUTHERN WATER AUTHORITY
Revenue,Childrens Services,1900791558,29.01.2014,Youth Offending Team,Water and Sewerage,88.59,SOUTHERN WATER AUTHORITY
Revenue,Childrens Services,1900791495,27.01.2014,Branstone Farm Studies Centre,Water and Sewerage,120.78,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1900785398,15.01.2014,Seagulls,Water and Sewerage,218.22,SOUTHERN WATER AUTHORITY
Revenue,Childrens Services,1900785387,15.01.2014,Youth- Ryde  (Well St),Water and Sewerage,93.64,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1900785388,15.01.2014,"St Thomas Church, Ryde",Water and Sewerage,21.57,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785385,15.01.2014,Waterside pool,Water and Sewerage,386.34,SOUTHERN WATER AUTHORITY
Revenue,Childrens Services,1900785376,15.01.2014,Family Support activity base: 76 Greenlands,Water and Sewerage,61.68,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785378,15.01.2014,Ferry Management,Water and Sewerage,83.04,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900785234,10.01.2014,Old Cowes Enterprise College,Water and Sewerage,242.29,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784838,10.01.2014,Cemeteries-Newport,Water and Sewerage,11.37,SOUTHERN WATER AUTHORITY
Revenue,Resources,1900784839,10.01.2014,"Salisbury Gardens, Ventnor",Water and Sewerage,45.90,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784815,08.01.2014,Puckpool Park Recreation Area,Water and Sewerage,161.28,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784430,08.01.2014,Puckpool Park Recreation Area,Water and Sewerage,730.54,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1900778761,02.01.2014,Ryde Library,Water and Sewerage,102.33,SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784251,02.01.2014,Ryde Bungalow,Water and Sewerage,132.74,SOUTHERN WATER AUTHORITY
Revenue,Childrens Services,1900791496,27.01.2014,Carisbrooke Contact Centre,Water and Sewerage,27.51,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1900785400,15.01.2014,Highmead,Water and Sewerage,"1,014.56",SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900790454,17.01.2014,Ryde Sports Centre,Water and Sewerage,170.55,SOUTHERN WATER AUTHORITY
Revenue,Resources,1900785235,10.01.2014,Properties Industrial Estates,Water and Sewerage,76.08,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1900785239,10.01.2014,Downside Community & Learning Centre,Water and Sewerage,"1,346.21",SOUTHERN WATER AUTHORITY
Revenue,Economy & Environment,1900784532,08.01.2014,Rew Valley Sports Centre Management,Water and Sewerage,377.03,SOUTHERN WATER AUTHORITY
Revenue,Community Wellbeing & Social Care,1700048759,15.01.2014,Learning Disability Residential Care,Provider Refund Overpayments,"-3,968.44",SPECTRUM
Revenue,Community Wellbeing & Social Care,1900785417,15.01.2014,Learning Disability Residential Care,Charges from Independent Providers,"22,528.00",SPECTRUM
Revenue,Childrens Services,1900784657,10.01.2014,3 & 4 Year Old Funding,Payment to Private Contractors,"18,202.00",SPRINGHILL PRE-SCHOOL
Revenue,Childrens Services,1900784657,10.01.2014,2 Year Old Funding,Payment to Private Contractors,"3,234.00",SPRINGHILL PRE-SCHOOL
Revenue,Community Wellbeing & Social Care,1700048800,29.01.2014,Elderly Frail Residential Care,Provider Refund Overpayments,"-2,144.15",SSAFA FORCES HELP
Revenue,Childrens Services,1900791338,24.01.2014,Residual Premises Costs,Reserves - School Balances,"88,423.00",ST BLASIUS SHANKLIN C OF E PRIAMRY SCHOOL
Revenue,Corporate,1900790906,22.01.2014,Insurance claims suspense,Insurance claims suspense,"1,291.38",ST GEORGES SPECIAL SCHOOL
Revenue,Economy & Environment,1900790938,22.01.2014,Economic Development,Professional Services,247.50,ST HELENS PARISH COUNCIL
Revenue,Economy & Environment,1900790939,22.01.2014,Economic Development,Professional Services,54.50,ST HELENS PARISH COUNCIL
Revenue,Childrens Services,1900784656,10.01.2014,3 & 4 Year Old Funding,Payment to Private Contractors,"34,560.00",ST JOHNS PRE-SCHOOL
Revenue,Childrens Services,1900784656,10.01.2014,2 Year Old Funding,Payment to Private Contractors,"11,833.50",ST JOHNS PRE-SCHOOL
Revenue,Childrens Services,1900791115,24.01.2014,3 & 4 Year Old Funding,Payment to Private Contractors,"17,052.48",ST MARY'S PRE-SCHOOL PLAYGROUP LTD
Revenue,Childrens Services,1900791115,24.01.2014,2 Year Old Funding,Payment to Private Contractors,"3,381.00",ST MARY'S PRE-SCHOOL PLAYGROUP LTD
Revenue,Childrens Services,1900784770,08.01.2014,Country Dancing,Order Settlement,259.64,ST THOMAS & ST MARYS PRIMARY SCHOOL
Capital,Corporate,1900791808,29.01.2014,Balance Sheet,EMH Lottery Pay Deductions,156.24,STERLING MANAGEMENT CENTRE LTD
Capital,Corporate,1900784391,03.01.2014,Balance Sheet,EMH Lottery Pay Deductions,160.58,STERLING MANAGEMENT CENTRE LTD
Revenue,Community Wellbeing & Social Care,1700048692,02.01.2014,Elderly Frail Residential Care,Provider Refund Overpayments,"-4,352.96",STONEHAVEN RESIDENTIAL HOME
Revenue,Economy & Environment,1900797409,31.01.2014,Trading Standards,Licensing Income,115.00,STUBBINGS BROS
Revenue,Childrens Services,1900784655,10.01.2014,3 & 4 Year Old Funding,Payment to Private Contractors,"6,546.96",SUNBEAMS PRE-SCHOOL
Revenue,Childrens Services,1900784655,10.01.2014,2 Year Old Funding,Payment to Private Contractors,"5,365.50",SUNBEAMS PRE-SCHOOL
Revenue,Childrens Services,1900784891,10.01.2014,3 & 4 Year Old Funding,Payment to Private Contractors,"1,818.90",REDACTED PERSONAL DATA
Revenue,Childrens Services,1900784891,10.01.2014,2 Year Old Funding,Payment to Private Contractors,249.90,REDACTED PERSONAL DATA
Revenue,Childrens Services,1900791100,24.01.2014,Independ. & Non-Maint. Special Schls & Independ. Specialist Provision,Transport of Clients,234.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,1900791545,29.01.2014,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,1900790760,17.01.2014,Children placed with Family & Friends,Boarding Out Allowances,155.82,REDACTED PERSONAL DATA
Revenue,Childrens Services,1900784555,08.01.2014,In-house Fostering,Boarding Out Allowances,15.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,1900791281,24.01.2014,Wightcare,Mobile Telecoms,21.71,TALK TALK TELECOM LTD
Revenue,Community Wellbeing & Social Care,1900785259,10.01.2014,Wightcare,Mobile Telecoms,21.71,TALK TALK TELECOM LTD
Revenue,Community Wellbeing & Social Care,1900785261,10.01.2014,Wightcare,Mobile Telecoms,21.71,TALK TALK TELECOM LTD
Revenue,Economy & Environment,1900791598,29.01.2014,Medina Theatre,Order Settlement,"10,046.85",THAT'S ENTERTAINMENT PRODUCTIONS
Revenue,Community Wellbeing & Social Care,1700048744,29.01.2014,REDACTED PERSONAL DATA,Order Settlement,"-2,672.52",THE BRIARS RESIDENTIAL HOME
Revenue,Community Wellbeing & Social Care,1700048720,29.01.2014,Elderly Frail Residential Care,Provider Refund Overpayments,"-1,926.72",THE BRIARS RESIDENTIAL HOME
Capital,Community Wellbeing & Social Care,1900791342,27.01.2014,Chillerton Primary Devolved Capital,"Plant, Equipment & Furniture - Capital",665.00,THE CONSORTIUM
Revenue,Community Wellbeing & Social Care,1700048801,29.01.2014,Elderly Mentally Ill Residential Care,Provider Refund Overpayments,"-9,704.96",THE CROFT (RCH) LTD
